source,title,pub_raw,link
Bloomberg Markets,<![CDATA[Fed’s Musalem Says More Rate Hikes Likely Needed to Cool Prices]]>,"Mon, 21 Sep 2026 19:02:46 GMT",TLQ8XJT9NJLU00
Bloomberg Markets,<![CDATA[Paramount Settles Lawsuits With States Clearing the Way to Buy WBD]]>,"Mon, 21 Sep 2026 18:27:40 GMT",TLQ8M4KIUQ4Q00
Bloomberg Markets,<![CDATA[Copper Climbs Toward Record High on Signs of Near-Term Tightness]]>,"Mon, 21 Sep 2026 04:56:15 GMT",TLP0U6T9NJLT00
Bloomberg Business,<![CDATA[Bloomberg Talks: USTR Jamieson Greer (Podcast)]]>,"Mon, 21 Sep 2026 21:04:11 GMT",TLQFUZO2LL3400
Bloomberg Business,"<![CDATA[Stocks Jump on Tech Rally, Ground Stop Lifted but Delays Persist]]>","Mon, 21 Sep 2026 21:04:04 GMT",TLQFUSXVHD6O00
Bloomberg Business,"<![CDATA[Stock Movers: Paramount, Intel, UPS (Podcast)]]>","Mon, 21 Sep 2026 20:47:27 GMT",TLQF33GFA9Z400
Bloomberg Business,<![CDATA[Balance of Power: Xi’s First US Trip in Three Years (Podcast)]]>,"Mon, 21 Sep 2026 20:40:37 GMT",TLQERPGF4NPC00
Bloomberg Business,"<![CDATA[Stocks Close Higher, Tech Issue, Cable to Blame for Ground Stop]]>","Mon, 21 Sep 2026 20:27:52 GMT",TLQE6GGFWR2800
Bloomberg Business,"<![CDATA[Iran War Is Stretching US Naval Budget, Sailors and Global Readiness]]>","Mon, 21 Sep 2026 20:20:32 GMT",TLQDU8KIJH8S00
Bloomberg Business,<![CDATA[Big Take: The Real Costs of the US Iran Blockade (Podcast)]]>,"Mon, 21 Sep 2026 19:49:46 GMT",TLQCEYGFFW8W00
Bloomberg Business,"<![CDATA[Stock Movers: Accenture, Warner Bros., Critical Metals (Podcast)]]>","Mon, 21 Sep 2026 19:30:17 GMT",TLQBIHGF4NPC00
Bloomberg Business,"<![CDATA[Ground Stop at NY Airports, Settlement Allows Paramount Merger]]>","Mon, 21 Sep 2026 19:03:22 GMT",TLQA9MGFA9Z400
Bloomberg Business,"<![CDATA[Ground Stop at NY-Area Airports, Paramount Settles Merger Suit]]>","Mon, 21 Sep 2026 18:07:39 GMT",TLQ7ORGFA9Z400
Bloomberg Business,"<![CDATA[Ground Stops at All NY-Area Airports, Paramount Settles Lawsuit]]>","Mon, 21 Sep 2026 17:19:29 GMT",TLQ5GHGFA9Z400
Bloomberg Business,<![CDATA[Bloomberg Tech: AI Takes Center Stage (Podcast)]]>,"Mon, 21 Sep 2026 17:00:25 GMT",TLQ4KPGFFW8W00
Bloomberg Business,<![CDATA[Deuda de Chile atrae capital extranjero gracias a disciplina fiscal]]>,"Mon, 21 Sep 2026 16:50:15 GMT",TLQ43RVTTD0200
Bloomberg Business,"<![CDATA[Paramount Settles Merger Lawsuit, AMD on Track to Top $1T, More]]>","Mon, 21 Sep 2026 16:37:49 GMT",TLQ3J1O2LL3400
Bloomberg Business,<![CDATA[Bloomberg Intelligence: Paramount to Settle Lawsuits (Podcast)]]>,"Mon, 21 Sep 2026 16:35:54 GMT",TLQ3FUGFA9Z400
Bloomberg Business,<![CDATA[German Car Industry Protests Highlight Challenges for Merz’s Government ]]>,"Mon, 21 Sep 2026 16:02:01 GMT",TLQ1VDVTTCZT00
Bloomberg Business,<![CDATA[Germany May Look to Andy Burnham Beating Populists After Tough Election]]>,"Mon, 21 Sep 2026 15:57:44 GMT",TLQ1O8RKV2V400
Bloomberg Business,"<![CDATA[Bloomberg Surveillance TV: September 21st, 2026 (Podcast)]]>","Mon, 21 Sep 2026 15:47:51 GMT",TLQ17RGF4NPC00
Bloomberg Business,"<![CDATA[Media Outlets Sue Trump, US Touts China Talks, More]]>","Mon, 21 Sep 2026 15:41:15 GMT",TLQ0WRXVHD6O00
Bloomberg Business,"<![CDATA[Stock Movers: Paramount, Accenture, HPQ (Podcast)]]>","Mon, 21 Sep 2026 15:13:23 GMT",TLPZMBGFWR2800
Bloomberg Tech,"<![CDATA[Meta’s New Muse AI App Tops Charts, Draws Strong Reviews]]>","Mon, 21 Sep 2026 17:44:30 GMT",TLQ1HRT9NJLT00
Bloomberg Tech,<![CDATA[British Columbia Sues OpenAI Over Canada Mass Shooting Warning Failure]]>,"Mon, 21 Sep 2026 19:40:43 GMT",TLQ911T9NJLS00
Bloomberg Tech,<![CDATA[Bitcoin Reaches Eight-Month High After Clarity Act Loss]]>,"Mon, 21 Sep 2026 19:23:58 GMT",TLQ68SKGZAIP00
Bloomberg Tech,"<![CDATA[Google Takes on Apple, Microsoft With AI-Powered Laptops]]>","Mon, 21 Sep 2026 17:51:34 GMT",TLQ6E7R24U8000
Bloomberg Tech,<![CDATA[Trump-Xi Summit Puts Global AI Race in Focus]]>,"Mon, 21 Sep 2026 17:53:08 GMT",TLQ70JRKV2UI00
Bloomberg Tech,<![CDATA[Congressman Calls for National Data Center Strategy]]>,"Mon, 21 Sep 2026 17:50:00 GMT",TLQ6VCN3N0B500
Bloomberg Tech,<![CDATA[Former xAI Staffer Eyes $50 Million for Firm to Fight Deepfakes]]>,"Mon, 21 Sep 2026 17:31:11 GMT",TLILAJT96OSG00
Bloomberg Tech,<![CDATA[Nvidia Buying an Additional $1.5 Billion in SB Energy Shares Ahead of IPO]]>,"Mon, 21 Sep 2026 17:23:31 GMT",TLQ449T9NJLU00
Bloomberg Tech,<![CDATA[OpenAI Pushes US to Lead Effort to Set Global Standards for AI]]>,"Mon, 21 Sep 2026 17:02:04 GMT",TLPZXBVTTD1R00
Bloomberg Tech,<![CDATA[How AI Could Spark the Next Copper Boom]]>,"Mon, 21 Sep 2026 16:08:05 GMT",TLQ25HKGIFPM00
Bloomberg Tech,"<![CDATA[Startups Like Harvey Embrace Open Models to Cut Reliance on Anthropic, OpenAI]]>","Mon, 21 Sep 2026 16:05:23 GMT",TLQ20ZN3N0A300
Bloomberg Tech,<![CDATA[Amazon Blocks Meta’s Muse AI Agent From Its Retail Site]]>,"Mon, 21 Sep 2026 15:13:34 GMT",TLPWBKKJH6V400
